ts,etf_eth_flow,etf_eth_price,api_version,scope,endpoint,path,fetched_at
2024-11-14 00:00:00+00:00,-3200000.0,3188.9,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-15 00:00:00+00:00,-59800000.0,3061.04,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-18 00:00:00+00:00,-39100000.0,3078.09,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-19 00:00:00+00:00,-81300000.0,3210.48,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-20 00:00:00+00:00,-30300000.0,3109.33,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-21 00:00:00+00:00,-9000000.0,3071.05,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-22 00:00:00+00:00,91300000.0,3358.69,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-25 00:00:00+00:00,2900000.0,3362.98,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-26 00:00:00+00:00,40600000.0,3416.91,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-27 00:00:00+00:00,90100000.0,3327.17,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-28 00:00:00+00:00,0.0,3655.89,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-11-29 00:00:00+00:00,332900000.0,3581.59,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-02 00:00:00+00:00,24200000.0,3711.22,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-03 00:00:00+00:00,132600000.0,3646.26,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-04 00:00:00+00:00,167700000.0,3616.83,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-05 00:00:00+00:00,428500000.0,3840.74,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-06 00:00:00+00:00,83800000.0,3787.3,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-09 00:00:00+00:00,149800000.0,4007.31,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-10 00:00:00+00:00,305700000.0,3712.55,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2024-12-11 00:00:00+00:00,102000000.0,3628.41,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
