ts,premium,premium_rate,coinbase_price,api_version,scope,interval,symbol,endpoint,path,fetched_at
2023-10-16 00:00:00+00:00,31.99,0.1178,27186.13,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-17 00:00:00+00:00,19.47,0.0683,28520.24,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-18 00:00:00+00:00,12.6,0.0444,28408.51,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-19 00:00:00+00:00,6.24,0.022,28326.24,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-20 00:00:00+00:00,20.8,0.0724,28734.51,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-21 00:00:00+00:00,15.68,0.0528,29684.73,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-22 00:00:00+00:00,16.11,0.0539,29925.91,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-23 00:00:00+00:00,11.68,0.0389,30004.14,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-24 00:00:00+00:00,9.73,0.0294,33079.72,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-25 00:00:00+00:00,-1.07,-0.0032,33921.66,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-26 00:00:00+00:00,8.28,0.024,34504.33,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-27 00:00:00+00:00,1.69,0.0049,34153.35,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-28 00:00:00+00:00,13.95,0.0412,33905.96,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-29 00:00:00+00:00,4.41,0.0129,34085.42,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-30 00:00:00+00:00,8.6,0.0249,34534.48,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-10-31 00:00:00+00:00,18.77,0.0544,34493.51,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-01 00:00:00+00:00,16.6,0.0479,34656.38,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-02 00:00:00+00:00,18.67,0.0527,35440.1,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-03 00:00:00+00:00,6.34,0.0181,34947.92,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-04 00:00:00+00:00,13.54,0.039,34730.32,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-05 00:00:00+00:00,25.37,0.0724,35087.43,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-06 00:00:00+00:00,23.9,0.0683,35035.79,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-07 00:00:00+00:00,13.37,0.0381,35059.46,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-08 00:00:00+00:00,17.5,0.0494,35416.63,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-09 00:00:00+00:00,14.41,0.0404,35639.13,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-10 00:00:00+00:00,2.91,0.0079,36704.01,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-11 00:00:00+00:00,23.21,0.0622,37324.84,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
2023-11-12 00:00:00+00:00,9.95,0.0268,37139.94,v4,symbol_interval,1d,BTC,coinbase_premium,coinbase-premium-index,2026-04-24T04:26:23.083257+00:00
